,neut,male,female,date,round,groupid,lane,age,new_distance,dandivi,yeondivi,jockey_w,raw_weight,weight_added,prev1_velo,prev2_velo,prev3_velo,cure_in_1m,jprev1_rank,jprev2_rank,jprev3_rank,prev_velo_avg,prev_rank_avg,prev_rank_mean,year,month,prediction,rank_binary,rank
41,0,1,0,2018-09-30,6,1272,9,5,1,70.4,10.8,-0.87629371,0.254851029,0.412800413,1.437851687,0.73259659,-0.778314668,0,9,3,4,15.72110368,11,5.666666667,2018,9,0.095350698,0,9
42,0,1,0,2018-09-30,6,1272,1,4,1,104,16.2,-0.87629371,0.376227363,1.132070973,-1.214847381,-1.440232093,0.898924292,0,8,7,11,15.25846732,2,5,2018,9,0.066116557,0,8
43,1,0,0,2018-09-30,6,1272,5,4,1,18.7,3.3,0.906719304,0.376227363,2.714466204,-0.973719877,0.246844024,1.156693104,1,1,9,2,15.57688547,10,4.666666667,2018,9,0.168895274,0,7
44,1,0,0,2018-09-30,6,1272,3,5,1,3.2,1.4,-0.112145276,0.538062474,-0.018761923,-0.292616508,-0.89583106,-0.080059145,0,3,2,4,15.33112054,5,3.666666667,2018,9,0.568227172,0,6
45,0,1,0,2018-09-30,6,1272,7,3,1,8.8,2.3,0.397287014,1.124714754,0.556654525,1.125370247,-0.493954144,-0.653406788,1,12,1,9,15.51478576,8,1.333333333,2018,9,0.361762047,0,5
46,0,1,0,2018-09-30,6,1272,12,3,1,7.4,2.2,-0.621577566,0.962879642,0.125092189,-0.729144615,-0.430756715,-0.305247269,1,5,1,12,15.30195885,4,3,2018,9,0.280333519,0,4
47,1,0,0,2018-09-30,6,1272,11,4,1,25.8,4.9,-0.112145276,-0.352030639,0.700508637,0.815036445,-1.440232093,-0.545127512,0,8,8,11,15.34716306,6,4,2018,9,0.197988674,1,3
48,0,1,0,2018-09-30,6,1272,8,3,1,7.8,2.9,-0.87629371,-0.129507361,0.268946301,-0.481047118,-0.556924448,-0.994769937,1,6,8,6,15.21995296,1,2.333333333,2018,9,0.266478181,1,2
49,0,1,0,2018-09-30,6,1272,4,3,0,2.6,1.3,0.142570869,0.517833085,0.700508637,1.18615728,1.585389125,1.449901341,0,10,2,3,16.13173328,12,1.666666667,2018,9,0.63312161,1,1
50,0,1,0,2018-09-30,5,5598,5,3,0,104,26.4,1.161435448,-0.129507361,-1.313448931,0.720053012,0.289905122,1.130267597,0,5,7,4,15.82826314,10,6.666666667,2018,9,0.047173094,0,12
51,0,0,1,2018-09-30,5,5598,6,4,1,73.5,10,0.142570869,0.275080418,-0.738032483,0.910523769,0.326897206,0.727318844,1,9,3,4,15.80314099,9,5.666666667,2018,9,0.079295367,0,11
52,0,0,1,2018-09-30,5,5598,2,5,0,67.4,12.6,-0.87629371,-0.493636362,0.700508637,1.200049504,0.638161097,0.93216045,0,10,4,3,15.9207388,11,6,2018,9,0.098212697,0,10
53,1,0,0,2018-09-30,5,5598,12,3,1,27.3,3.9,0.142570869,0.355997974,0.844362749,-0.667453407,-1.295288647,0.481751707,1,3,2,4,15.29945216,4,3.666666667,2018,9,0.141875654,0,9
54,0,1,0,2018-09-30,5,5598,7,5,1,106.5,27.1,0.142570869,0.780815142,1.132070973,0.337944962,0.682169722,0.576651483,1,5,10,10,15.74882037,8,4.666666667,2018,9,0.02657075,0,8
55,1,0,0,2018-09-30,5,5598,8,3,1,8.4,1.9,0.652003159,0.639209419,0.268946301,-0.636524885,-0.899255447,-0.464357025,1,10,2,3,15.2242818,3,3,2018,9,0.386393517,0,7
56,0,1,0,2018-09-30,5,5598,9,3,0,10.5,2.4,1.161435448,0.598750641,0.556654525,0.859044661,1.203629381,0.864367492,0,7,11,2,15.94308034,12,2.666666667,2018,9,0.317719877,0,6
57,1,0,0,2018-09-30,5,5598,4,5,1,57.1,9.2,1.161435448,0.841503308,1.563633309,0.771135566,-1.022084075,-1.086715538,1,6,8,6,15.32294277,5,7,2018,9,0.080713145,0,5
58,0,1,0,2018-09-30,5,5598,11,3,1,4.2,1.6,1.670867738,0.43691553,0.700508637,-0.912902162,-0.775549473,-1.025472812,1,1,2,5,15.12020151,2,2.666666667,2018,9,0.486008734,0,4
59,0,1,0,2018-09-30,5,5598,10,3,1,18.8,3.7,0.652003159,0.275080418,0.700508637,-1.154884738,-1.113635386,-0.994769937,0,5,1,12,15.03988457,1,2.666666667,2018,9,0.251727045,1,3
60,0,1,0,2018-09-30,5,5598,1,3,1,2.6,1.4,1.670867738,0.61898003,0.268946301,1.395660977,-1.415329452,-0.933200438,0,11,12,9,15.37978486,6,5.333333333,2018,9,0.600512087,1,2
61,0,1,0,2018-09-30,5,5598,3,3,1,3.8,1.8,0.652003159,1.084255976,0.556654525,-1.034322117,0.814840411,0.683091433,1,8,8,11,15.58189137,7,3,2018,9,0.413924307,1,1
62,1,0,0,2018-09-30,4,5374,2,4,1,76,20.2,-0.112145276,-0.129507361,0.700508637,-1.774126329,-0.085512995,0.014618915,1,10,11,9,15.24505935,2,8.666666667,2018,9,0.042529959,0,12
